"REST_ID","REST_NAME","CUISINE"
18436042,"Eram Rooftop","Continental"
18408676,"Central Perk 7","Cafe"
18408676,"Central Perk 7","Charcoal Grill"
18408676,"Central Perk 7","Steak"
18413814,"Aangan Horizon","North Indian"
18413814,"Aangan Horizon","Chinese"
18413814,"Aangan Horizon","Continental"
2900219,"Adda","North Indian"
2900219,"Adda","Chinese"
2900219,"Adda","Mexican"
2900219,"Adda","Beverages"
2900587,"Tyre Patty","Cafe"
18271459,"JUGAAD JN.","North Indian"
18271459,"JUGAAD JN.","Rajasthani"
18377283,"Cha cTea","Cafe"
18377283,"Cha cTea","Tea"
2900234,"The Chicken Dinesty","Fast Food"
2900234,"The Chicken Dinesty","North Indian"
2900234,"The Chicken Dinesty","Chinese"
2900562,"Richard's Kitchen & Coffee Bar","Cafe"
2900562,"Richard's Kitchen & Coffee Bar","Chinese"
2900562,"Richard's Kitchen & Coffee Bar","Fast Food"
2900562,"Richard's Kitchen & Coffee Bar","Seafood"
2900354,"Silver Streak","Chinese"
2900640,"Chai Break","Italian"
2900640,"Chai Break","Cafe"
2900640,"Chai Break","Chinese"
2900640,"Chai Break","Continental"
2900020,"Lal Qila","Mughlai"
2900020,"Lal Qila","Chinese"
2900020,"Lal Qila","North Indian"
2900473,"Chill Ummm","Chinese"
2900473,"Chill Ummm","North Indian"
2900473,"Chill Ummm","Cafe"
18362677,"Michael's Kitchen","North Indian"
18362677,"Michael's Kitchen","Asian"
18362677,"Michael's Kitchen","European"
2900550,"Taste Of China","Chinese"
2900469,"99 North Restaurant","North Indian"
2900469,"99 North Restaurant","Chinese"
18235390,"Brewberrys The Coffee Bar","Cafe"
18408600,"Food Fever","Chinese"
18408600,"Food Fever","North Indian"
2900012,"Mainland China","Chinese"
2900044,"Mamma Mia - Mayfair Lagoon","Cafe"
2900044,"Mamma Mia - Mayfair Lagoon","Italian"
2900044,"Mamma Mia - Mayfair Lagoon","Mexican"
2900044,"Mamma Mia - Mayfair Lagoon","Bakery"
3001489,"Batlivala & Khanabhoy","Parsi"
3001489,"Batlivala & Khanabhoy","North Indian"
18280306,"Tim's Bistro","North Indian"
18280306,"Tim's Bistro","Continental"
3000048,"Barbeque Nation","North Indian"
3000048,"Barbeque Nation","European"
3000048,"Barbeque Nation","Mediterranean"
18260777,"Kuchi n Kream","Cafe"
18260777,"Kuchi n Kream","Continental"
18260777,"Kuchi n Kream","Fast Food"
3000122,"Zucca Pizzeria","Pizza"
3000195,"Valarmathi Kongunaatu Samayal","South Indian"
3000195,"Valarmathi Kongunaatu Samayal","Biryani"
3000996,"Yari","North Indian"
3000996,"Yari","Chinese"
3000996,"Yari","Street Food"
3000001,"That's Y Food","North Indian"
3000001,"That's Y Food","Biryani"
